season,race_name,race_date,country,circuit,status,source_type,source_url,local_csv,total_laps,source_note
2026,Australian Grand Prix,2026-03-08,Australia,"Albert Park, Melbourne",completed,fastf1_export,,data/real/raw_sources/01_australian_grand_prix/laps.csv,58,Official FastF1-style local CSV export
2026,Chinese Grand Prix,2026-03-15,China,"Shanghai International Circuit, Shanghai",completed,fastf1_export,,data/real/raw_sources/02_chinese_grand_prix/laps.csv,56,Official FastF1-style local CSV export
2026,Japanese Grand Prix,2026-03-29,Japan,"Suzuka Circuit, Suzuka",completed,fastf1_export,,data/real/raw_sources/03_japanese_grand_prix/laps.csv,53,Official FastF1-style local CSV export
2026,Miami Grand Prix,2026-05-03,United States,"Miami International Autodrome, Miami",completed,fastf1_export,,data/real/raw_sources/04_miami_grand_prix/laps.csv,57,Official FastF1-style local CSV export
2026,Canadian Grand Prix,2026-05-24,Canada,"Circuit Gilles Villeneuve, Montreal",completed,fastf1_export,,data/real/raw_sources/05_canadian_grand_prix/laps.csv,68,Official FastF1-style local CSV export
2026,Monaco Grand Prix,2026-06-07,Monaco,"Circuit de Monaco, Monaco",completed,fastf1_export,,data/real/raw_sources/06_monaco_grand_prix/laps.csv,78,Official FastF1-style local CSV export
2026,Barcelona-Catalunya Grand Prix,2026-06-14,Spain,"Circuit de Barcelona-Catalunya, Barcelona",completed,fastf1_export,,data/real/raw_sources/07_barcelona_catalunya_grand_prix/laps.csv,66,Official FastF1-style local CSV export
2026,Austrian Grand Prix,2026-06-28,Austria,"Red Bull Ring, Spielberg",completed,fastf1_export,,data/real/raw_sources/08_austrian_grand_prix/laps.csv,71,Official FastF1-style local CSV export
